Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.02237010002136,..,..,..,1.00330746173859,..,..
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.412640362977982,0.429893493652344,0.406002551317215,0.411464869976044,0.421226531267166,..,..
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.16578620672226,..,..,..,0.172087430953979,..,..
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.395670086145401,..,..,..,0.41066387295723,..,..
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.234787285327911,..,..,..,0.173609301447868,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.78128695487976,..,..,..,..,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.02986991405487,1.0440057516098,1.06264078617096,1.05062389373779,1.05037939548492,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.05030238628387,..,..,..,..,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.942962288856506,..,..,..,..,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.818800270557404,..,..,..,..,..,..
